Planet Name,Discovery Year,Discovery Method,Orbital Period (days),SemiMajor Axis (AU),Mass (Jupiter Mass),Stellar_Luminosity,Right Ascension (RA),Declination (Dec),RASTR,DECSTR,GLON,GLAT,ELON,ELAT,Ri (AU),Ro (AU)
Kepler-530 b,2016,Transit,39.30941904,0.2212,0.0293,-0.132,283.3402948,48.549062,18h53m21.67s,+48d32m56.62s,78.26085,19.68363,297.54733,70.71517,0.34641016151377546,0.49905571209393534
Kepler-54 b,2012,Transit,8.0109434,0.0619,0.068,-1.301,294.7739245,43.0561976,19h39m05.74s,+43d03m22.31s,76.34485,10.1981,312.24657,62.9084,1.0875326536372472,1.566753644046209
Kepler-540 b,2016,Transit,172.7049784,0.5886,0.0245,0.207,290.6249953,44.8737757,19h22m30.00s,+44d52m25.59s,76.65702,13.67995,307.28481,65.66467,0.4337992832887327,0.624952828408552
WASP-25 b,2010,Transit,3.76483,0.0473,0.44,-0.143,195.3597581,-27.5222273,13h01m26.34s,-27d31m20.02s,305.64883,35.29676,205.02714,-19.3005,0.3605551275463989,0.5194336538526522
HATS-35 b,2016,Transit,1.8209993,0.03199,1.222,0.465,296.688442,-63.5656488,19h46m45.23s,-63d33m56.34s,332.9417,-30.1993,285.49335,-41.5552,0.650174801670499,0.9366741645663329
Kepler-55 c,2012,Transit,42.1516418,0.2095,0.22,-0.763,285.1683291,44.0264898,19h00m40.40s,+44d01m35.36s,74.25808,16.92531,297.575,66.01988,0.8328483437195295,1.199842756993363
Kepler-523 b,2016,Transit,5.83598311,0.0606,0.0142,-0.28,284.0611224,45.5068127,18h56m14.67s,+45d30m24.53s,75.41032,18.19117,296.60281,67.65178,0.504524979109513,0.726843784311631
Kepler-525 b,2016,Transit,18.68404933,0.1396,0.0233,0.525,296.1834239,47.3587776,19h44m44.02s,+47d21m31.60s,80.6889,11.33166,318.42734,66.4505,0.6908492797077574,0.9952718411247498
Kepler-788 b,2016,Transit,8.39846269,0.0835,0.0221,0.336,290.0004154,38.5398551,19h20m00.10s,+38d32m23.48s,70.58601,11.39483,302.0975,59.77011,0.5526794237662059,0.7962174728997997
Kepler-743 b,2016,Transit,3.17926292,0.0418,0.00606,-0.176,295.57423,42.8064255,19h42m17.82s,+42d48m23.13s,76.4007,9.56351,313.23284,62.46018,0.39999999999999997,0.5762598994361079
Kepler-844 b,2016,Transit,2.61302086,0.0298,0.0109,-0.921,287.8578541,48.7739646,19h11m25.88s,+48d46m26.27s,79.58545,16.96872,306.17888,69.97944,0.9150260801052216,1.3182320922571273
Kepler-845 b,2016,Transit,0.92785982,0.017,0.0152,-0.605,290.9576363,49.2037262,19h23m49.83s,+49d12m13.41s,80.82529,15.26491,312.09663,69.59821,0.7416198487095662,1.0684144485929905
Kepler-848 b,2016,Transit,6.91134416,0.072,0.0111,0.594,293.2882949,48.8116114,19h33m09.19s,+48d48m41.80s,81.12202,13.71305,315.52566,68.60044,0.7348469228349533,1.058657034634509
Kepler-827 b,2016,Transit,51.92927591,0.2742,0.0849,0.232,294.9660027,42.7085608,19h39m51.84s,+42d42m30.82s,76.09952,9.91121,312.25561,62.53338,0.4592483978296396,0.6616160888737544
Kepler-828 b,2016,Transit,0.56785714,0.0125,0.00909,-0.543,286.8872555,42.4712271,19h07m32.94s,+42d28m16.42s,73.25742,15.17564,299.48317,64.19184,0.7025926014671402,1.0121898546650192
Kepler-48 d,2014,Transit,42.8961,0.2279,0.025,-0.289,299.1393094,40.948939,19h56m33.43s,+40d56m56.18s,76.08999,6.33882,316.86626,59.73682,0.5125692857821982,0.7384328126972178
Kepler-483 b,2016,Transit,30.229104,0.2072,0.0327,0.439,291.6467764,41.8846843,19h26m35.23s,+41d53m04.86s,74.21755,11.72466,306.63525,62.5978,0.6317364237487887,0.9101109200490085
Kepler-107 b,2014,Transit,3.1800218,0.04544,0.01196,0.364,297.028162,48.2086019,19h48m06.76s,+48d12m30.97s,81.72606,11.23255,320.67285,66.95351,0.5752469825293227,0.82872942075818
NGTS-23 b,2022,Transit,4.0764326,0.0504,0.613,0.283,70.4322947,-40.0445299,04h41m43.75s,-40d02m40.31s,243.74636,-41.20214,57.7157,-61.30897,0.5072205903477571,0.7307272159643045
HD 20329 b,2022,Transit,0.926118,0.018,0.02335,0.049,49.178124,15.6563542,03h16m42.75s,+15d39m22.88s,166.76827,-34.57149,50.94469,-2.42144,0.21105794120443452,0.30406056993414854
Kepler-516 b,2016,Transit,24.85462415,0.1992,0.0878,0.798,295.6087625,38.7357368,19h42m26.10s,+38d44m08.65s,72.79874,7.59194,310.37739,58.63814,0.8517361947543062,1.2270535348380243
Kepler-524 b,2016,Transit,7.97419807,0.0791,0.0136,0.439,296.8591787,49.1620125,19h47m26.20s,+49d09m43.25s,82.52933,11.78199,321.58441,67.84784,0.6317364237487887,0.9101109200490085
Kepler-524 c,2016,Transit,1.88897906,0.0303,0.00264,0.439,296.8591787,49.1620125,19h47m26.20s,+49d09m43.25s,82.52933,11.78199,321.58441,67.84784,0.6317364237487887,0.9101109200490085
