Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
WASP-126 b,2016,3,0,G2,90,5526,1,63,-69,10,0,1.144995177252594,1.6495370142460208,No
WASP-120 b,2016,3,0,F5,1541,6176,4,62,-45,16,2,2.0739756704137116,2.98787252816385,No
WASP-151 b,2017,4,0,G1,100,5597,1,349,0,13,0,1.12668797045949,1.623162741382146,No
CoRoT-28 b,2015,5,0,G8/9 IV,153,4876,2,278,5,10,0,1.490402798725588,2.147148417282253,No
HD 24040 c,2021,515,1,G0 V,63,5503,1,57,17,9,0,1.3100976192275602,1.8873918057688956,No
K2-264 b,2018,5,0,M2.5 V,5,3386,0,131,19,2,2,0.17330203299358732,0.24966753026239422,No
DMPP-1 e,2019,5,0,F8 V,4,5922,2,86,-10,1,3,1.3781727464139675,1.9854642206352437,No
GJ 160.2 b,2014,5,0,M0 V,10,4073,0,61,-20,3,1,0.38133235666239645,0.5493663637550166,No
HAT-P-9 b,2008,3,0,F7,238,6076,2,110,37,15,0,1.542778782297763,2.2226038648476747,No
HATS-18 b,2016,0,0,G V,629,5326,0,173,-29,14,1,0.9189749164545621,1.3239209823510292,No
HD 23472 c,2019,29,0,K4 V,3,4410,0,55,-62,1,3,0.46430531742316195,0.6689013388148037,No
HD 23472 b,2019,17,0,K4 V,8,4410,0,55,-62,2,6,0.46430531742316195,0.6689013388148037,No
HD 22532 b,2022,872,1,G8 III/IV,673,4764,18,53,-49,13,1,4.133364045735044,5.954729873320251,No
TOI-1266 c,2020,18,0,M3,2,3326,0,197,65,1,3,0.15463352546924913,0.22277274959090085,No
HD 134060 b,2019,3,0,G3 IV,10,5692,1,227,-61,3,1,1.1436777113790904,1.6476390073665816,No
GJ 682 c,2014,57,0,M3.5 V,8,2754,0,264,-44,2,1,0.04263867077103456,0.061427390326514224,No
Kepler-74 b,2013,7,0,F8 V,200,5726,2,293,41,10,0,1.3973450391011109,2.0130847792748763,No
HD 34445 c,2017,214,0,G0 V,53,5562,2,79,7,8,0,1.3514614354329464,1.9469825771859195,No
HD 38283 b,2010,363,1,F9.5 V,127,5707,2,84,-73,14,0,1.5303954203831156,2.204763777618636,No
HD 40956 b,2017,578,1,K0,858,4595,46,91,63,13,2,6.475952541801927,9.329579401229465,No
HD 40979 b,2002,264,0,F8 V,1484,5891,1,91,44,12,3,1.3329186893892238,1.9202689747598571,No
K2-101 b,2016,14,0,K3,4,4653,0,130,18,2,3,0.4806220122781524,0.6924079811554699,No
K2-104 b,2016,1,0,M2.5e,3,3438,0,129,19,1,3,0.1829378865384074,0.2635494202491919,No
K2-133 e,2019,26,0,M1.5 V,3,3381,0,70,25,1,3,0.17370153543902156,0.25024307335997026,No
16 Cyg B b,1996,798,1,G3 V,565,5476,1,295,50,13,1,1.0661140269125744,1.5358969048401605,No
K2-36 c,2016,5,0,K2 V,7,4642,0,169,3,3,1,0.4946564284179214,0.7126266592388392,No
HD 28109 d,2022,84,0,F8/G0 V,5,5846,2,65,-68,3,0,1.611772187651318,2.3219991969246605,No
TOI-220 b,2021,10,0,K0 V,13,5024,0,91,-61,3,2,0.7011382453136022,1.0100946368380639,No
HR 8799 b,2008,170000,68,A5 V,2000,6931,4,346,21,13,5,2.1149673018780195,3.04692711172721,No
HR 8799 e,2010,20815,16,A5,3178,7126,5,346,21,13,7,2.2171938098448614,3.1941997047289017,No
K2-11 b,2015,39,0,G8,44,5159,0,169,1,7,0,0.6672731615711311,0.9613069124584845,No
K2-133 c,2017,4,0,M1.5 V,3,3381,0,70,25,1,4,0.17370153543902156,0.25024307335997026,No
TOI-1899 b,2020,29,0,M0,209,3567,0,299,40,12,0,0.28236031480485013,0.4067823165354768,No
Qatar-10 b,2019,1,0,F7 V,233,5850,1,284,69,17,0,1.3468017047026226,1.94026953728078,No
HD 174205 b,2022,582,1,K2,1334,4034,238,280,70,13,3,14.733422989655429,21.225702125921195,No
K2-233 d,2018,24,0,K3,21,4759,0,230,-20,2,8,0.5221600694133806,0.7522497727242646,No
K2-288 B b,2018,31,0,M3 V,4,3067,0,55,18,1,3,0.10334837619956412,0.14888881218911468,No
WASP-165 b,2018,3,0,G6,209,5325,2,357,-17,14,0,1.560643318640522,2.2483404046385522,No
WASP-141 b,2016,3,0,F9,854,5626,2,71,-17,13,1,1.3702621367695007,1.974067802839747,No
K2-239 d,2018,10,0,M3.0 V,1,3146,0,160,4,1,5,0.1205878792572857,0.17372489793504248,No
K2-37 b,2016,4,0,G3 V,3,5139,0,243,-24,1,4,0.5556529922617732,0.8005013436053546,No
