Planet Name,Discovery Year,Orbital Period (days),SemiMajor Axis (AU),Spectral_Type,Mass (Earth Mass),Temperature,Stellar_Luminosity,Right Ascension (RA),Declination (Dec),radius,density,Ri (AU),Ro (AU),Habitable Zone
TOI-1260 c,2021,7,0,K6 V,13,3953,0,157,65,2,3,0.34261285779798617,0.4935851274504626,No
HD 149143 b,2005,4,0,G0,422,5582,2,248,2,13,0,1.426604722781376,2.055237735212681,No
HD 210702 b,2007,354,1,K1 III,574,4677,14,332,16,13,1,3.5793457990657696,5.156583625541739,No
HIP 12961 b,2010,57,0,M0,114,3627,0,41,-23,13,0,0.3004717576232013,0.4328745620783414,No
HD 11755 b,2015,433,1,G5,1789,4038,147,29,73,12,4,11.582535965353946,16.68637752652492,No
HD 115954 b,2021,3700,5,G0 V,2685,5683,3,199,38,12,7,1.6588367852480532,2.389802797619899,No
HIP 97233 b,2014,1062,2,K0/1 III,6098,4746,15,296,0,12,18,3.8133235666239647,5.493663637550165,No
HD 95872 b,2015,4375,5,K0 V,1188,5038,0,165,-22,13,2,0.7216118517129357,1.03958993275,No
WASP-49 b,2012,2,0,G6 V,117,5326,0,91,-16,12,0,0.8970231626840349,1.2922961938004036,No
WASP-56 b,2012,4,0,G6,143,5326,1,183,23,10,0,1.0735039763053957,1.5465432335750235,No
HAT-P-23 b,2010,1,0,G0,664,5631,1,306,16,15,1,1.198957137481791,1.7272772986836515,No
V1298 Tau b,2019,24,0,K1,203,4776,0,61,20,10,1,0.9317591309996942,1.3423385578213978,No
V1298 Tau c,2019,8,0,K1,76,4776,0,61,20,5,3,0.9317591309996942,1.3423385578213978,No
V1298 Tau d,2019,12,0,K1,98,4776,0,61,20,6,2,0.9317591309996942,1.3423385578213978,No
V1298 Tau e,2019,60,0,K1,368,4776,0,61,20,8,3,0.9317591309996942,1.3423385578213978,No
TOI-411 c,2022,9,0,F7/F8V,9,5895,1,54,-42,2,3,1.2128404068148402,1.74727822715792,No
TOI-411 b,2022,4,0,F7/F8V,13,5895,1,54,-42,1,18,1.2128404068148402,1.74727822715792,No
HD 22946 d,2023,47,0,F7/F8V,26,5895,1,54,-42,2,10,1.2128404068148402,1.74727822715792,No
tau Cet e,2017,162,0,G8.5V,3,5036,0,26,-15,1,3,0.6711253715722504,0.9668565978281138,No
42 Dra b,2008,479,1,K1.5 III,1233,3926,142,276,65,13,3,11.397344022786033,16.419580801023514,No
61 Vir c,2009,38,0,G5 V,18,5303,0,199,-18,4,1,0.8546802284457127,1.2312948562353903,No
70 Vir b,1996,116,0,G5V,2380,5221,2,202,13,12,6,1.602520734489518,2.308671093253019,No
K2-111 c,2020,15,0,G2,11,5501,1,59,21,3,1,1.093461905306527,1.5752956189728855,No
LP 791-18 d,2023,2,0,M(6.1 +/- 0.7) V,0,2686,0,165,-16,1,4,0.0457407896084855,0.06589645704978507,No
24 Sex b,2010,452,1,K0 IV,632,4824,14,155,0,13,1,3.641695734226705,5.246408043955961,No
24 Sex c,2010,883,2,K0 IV,273,4824,14,155,0,13,0,3.641695734226705,5.246408043955961,No
OGLE-TR-113 b,2004,1,0,K4 V,400,4516,0,163,-61,12,1,0.518565544779017,0.7470713217134671,No
WASP-130 b,2016,11,0,G6,390,5351,0,203,-42,9,2,0.9189749164545621,1.3239209823510292,No
WASP-150 b,2020,5,0,F8,2688,5944,3,264,53,11,8,1.8126070191342265,2.611331846408682,No
HD 110113 b,2021,2,0,G,4,5458,0,190,-44,2,2,0.9189749164545621,1.3239209823510292,No
HD 110113 c,2021,6,0,G,10,5458,0,190,-44,3,1,0.9189749164545621,1.3239209823510292,No
TOI-201 b,2021,52,0,F6 V,133,6120,2,87,-54,11,0,1.5374594046866206,2.214940504829526,No
K2-216 b,2018,2,0,K5 V,8,4229,0,11,6,1,8,0.41572262167801916,0.5989106904037261,No
HIP 63242 b,2013,124,0,G8,2917,4556,42,194,-65,12,8,6.227355478426635,8.971438104377572,No
RR Cae b,2012,4343,5,M,1334,3630,0,65,-48,13,3,0.08419836483638225,0.12130035313324591,No
HAT-P-68 b,2020,2,0,K,230,4234,0,118,23,12,0,0.38886929918911517,0.5602244581112732,No
WASP-169 b,2019,5,0,F8,178,5836,6,127,-12,14,0,2.364850317596267,3.406921015498682,No
TOI-1680 b,2023,4,0,M4.5+/-0.5,2,2951,0,292,65,1,4,0.0627774480633067,0.09044031476954154,No
WASP-193 b,2023,6,0,F9,44,5804,1,164,-29,16,0,1.307084478317112,1.8830509250737915,No
TOI-2096 c,2023,6,0,M4,4,3026,0,151,74,1,3,0.0733337101063273,0.10564819102787217,No
Kepler-423 b,2014,2,0,G4 V,189,5286,0,292,46,13,0,0.9339070576279054,1.3454329677783206,No
Kepler-411 d,2018,58,0,K2 V,15,4713,0,287,49,3,2,0.48955744261576606,0.7052808066248988,No
TOI-1075 b,2022,0,0,K9 V/M0 V,9,3601,0,309,-65,1,9,0.255448676800673,0.3680120720106067,No
HATS-15 b,2016,1,0,G9 V,689,5037,0,311,-19,12,1,0.7538824919138657,1.0860806224423167,No
GJ 3341 b,2015,14,0,M2.5,6,3252,0,78,-31,2,2,0.16229444587206648,0.2338094526431897,No
GJ 581 b,2005,5,0,M3 V,15,3122,0,229,-7,4,1,0.10884379042096394,0.1568057793055737,No
G 264-012 b,2021,2,0,M4.0 V,2,3052,0,326,66,1,5,0.09846993640101798,0.1418606891198264,No
EPIC 249893012 b,2020,3,0,G8 IV/V,8,5156,2,228,-16,1,6,1.4364934743021165,2.0694839626049073,No
EPIC 249893012 c,2020,15,0,G8 IV/V,14,5156,2,228,-16,3,1,1.4364934743021165,2.0694839626049073,No
GJ 3293 d,2017,48,0,M2.5,7,3192,0,67,-25,2,2,0.14135255320666784,0.20363952023977877,Yes
GJ 3998 c,2016,13,0,M1,6,3448,0,259,11,2,2,0.193109508025088,0.27820316418673374,No
BD-08 2823 b,2009,5,0,K3 V,12,4542,0,150,-9,3,1,0.4637710737662944,0.6681316808248514,No
BD-10 3166 b,2000,3,0,K0 V,187,5119,0,164,-10,14,0,0.7652505623621688,1.102458030275621,No
GJ 720 A b,2021,19,0,M0.5 V,13,3563,0,278,45,3,1,0.23485708025181945,0.33834679361942854,No
BD-13 2130 b,2007,714,1,G5 IV/V,3108,4271,110,114,-13,12,8,10.01852202809682,14.433181241023764,No
HD 215152 d,2018,10,0,K3 V,2,4661,0,340,-6,1,4,0.5221600694133806,0.7522497727242646,No
GJ 229 b,2014,579,1,M1/M2 V,14,3290,0,92,-21,3,1,0.15951578205290143,0.22980637131069273,No
GJ 3222 b,2022,10,0,K0V,11,4984,0,50,-40,3,1,0.7133516291519467,1.0276898451942114,No
HAT-P-2 b,2007,5,0,F8,2765,6106,3,245,41,12,7,1.7551072387313817,2.528494802227328,No
CoRoT-14 b,2010,1,0,F9 V,2415,5761,1,103,-5,12,7,1.093461905306527,1.5752956189728855,No
EPIC 212737443 c,2019,65,0,K3,7,4410,0,204,-7,2,2,0.3778362806023448,0.5443297426580507,No
GJ 180 c,2014,24,0,M2 V,6,3097,0,73,-17,2,2,0.10871855148348086,0.156625353861775,Yes
HD 136118 b,2022,1187,2,F7 V,4164,5823,3,229,-1,12,12,1.835708240292548,2.6446126148625457,Yes
HD 153557 b,2022,7,0,K0,20,4563,0,254,47,4,1,0.49923342799717196,0.7192205125319843,No
HD 155918 b,2022,1,0,G2V,7,5498,1,260,-75,2,2,0.9711887822373403,1.3991428749639145,No
GJ 3138 d,2017,257,0,M0,10,3443,0,32,-16,3,1,0.20221047875313394,0.2913144753780205,No
HD 134060 c,2019,1291,2,G3 IV,29,5692,1,227,-61,5,0,1.1436777113790904,1.6476390073665816,No
K2-98 b,2016,10,0,F8 V,32,5898,3,126,11,5,2,1.703349068773515,2.4539294076900346,No
GJ 433 b,2011,7,0,M1.5 V,6,3187,0,173,-32,2,2,0.134835316038517,0.1942504641519791,No
GJ 433 d,2020,36,0,M2V,5,3187,0,173,-32,2,2,0.1745033052976433,0.25139814290522094,Yes
CoRoT-30 b,2020,9,0,G3 V,921,5376,0,277,6,11,3,0.7599826145450145,1.094868762577251,No
HATS-12 b,2016,3,0,F,759,6083,7,289,-19,7,1,2.5751566770597027,3.709898819386615,No
TOI-1062 b,2021,4,0,G9 V,10,5054,0,38,-78,2,4,0.6955104464719642,1.0019869498517415,No
HD 10180 d,2010,16,0,G1 V,11,5637,1,24,-60,3,1,1.1635998522261988,1.6763398345693485,No
HD 102272 b,2008,127,0,K0,1570,4516,45,176,14,12,4,6.461058264267609,9.308121964044217,No
HD 42618 b,2016,149,0,G4 V,14,5453,0,93,6,3,1,0.9436341670799311,1.3594463255648914,No
HD 110014 b,2009,835,2,K2 III,3524,4171,201,189,-7,12,10,13.530182589181146,19.492254145484264,No
HD 131496 b,2011,896,2,K0,572,4572,9,223,18,13,1,2.9840332459284618,4.298946745531845,No
BD-17 63 b,2008,655,1,K5 V,1620,4440,0,7,-16,12,4,0.4368211495486999,0.6293062792762472,No
HD 37605 b,2004,55,0,K0,854,5055,0,85,6,13,2,0.7401225857152176,1.0662574170366088,No
HD 40307 d,2009,20,0,K2.5 V,9,4682,0,88,-60,3,1,0.4568815888083398,0.6582063460522578,No
HD 75289 b,1999,3,0,G0,155,5843,2,131,-41,14,0,1.3655375827275584,1.9672613752470216,No
HD 73526 c,2005,379,1,G6 V,715,5359,2,129,-41,13,1,1.4070309721838712,2.027038816335417,No
HD 46375 b,2000,3,0,K1 IV-V,71,5011,0,98,5,10,0,0.7191237918744282,1.0360055099691765,No
HD 7924 c,2015,15,0,K0.5 V,7,4801,0,20,76,2,2,0.5919753969594067,0.8528292068011943,No
G 264-012 c,2021,8,0,M4.0 V,3,3052,0,326,66,1,3,0.09846993640101798,0.1418606891198264,No
HD 23127 b,2006,1211,2,G2 V,485,5569,2,54,-60,13,1,1.6043667671246438,2.311330579704702,No
HD 233832 b,2018,2058,2,G0,565,4707,0,171,50,13,1,0.5221600694133806,0.7522497727242646,No
HD 238090 b,2020,13,0,M0.0 V,6,3659,0,183,54,2,2,0.2525245799773255,0.3637994726571975,No
HD 30856 b,2011,847,1,K0 III,491,4621,9,72,-24,13,1,3.0012602578564884,4.323764835934918,No
HD 212301 b,2005,2,0,F8 V,162,5965,1,336,-77,14,0,1.2612571969790722,1.8170298637355686,No
HD 215497 b,2009,3,0,K3 V,6,4836,0,341,-56,2,2,0.594707831241741,0.8567656875630787,No
TOI-2202 c,2021,24,0,K8 V,117,4870,0,51,-73,13,0,0.6009020109721719,0.865689331034447,No
K2-60 b,2016,3,0,G4 V,135,5226,1,338,-13,7,1,1.3191787820875827,1.900474580760094,No
DMPP-3 A b,2019,6,0,K0 V,2,4864,0,91,-72,1,5,0.6804616554938643,0.9803069129125543,No
Kepler-167 c,2014,7,0,K4,3,4610,0,292,38,1,4,0.5126295740737586,0.7385196670092975,No
HD 28254 b,2010,1116,2,G1 IV/V,368,5390,2,66,-50,13,0,1.4102745135577335,2.031711623400214,No
HD 13808 b,2021,14,0,K2 V,11,4761,0,33,-53,3,1,0.5778347518562762,0.8324574899884651,No
HD 4208 b,2001,832,1,G7 V Fe-1 CH-0.5,257,5443,0,11,-26,13,0,0.8497744271405642,1.2242273148184943,No
TOI-622 b,2023,6,0,F6 V,96,6126,2,125,-46,9,0,1.6455218651151344,2.37062066127791,No
HD 235088 b,2023,7,0,K2 V,4,4763,0,300,53,2,3,0.5725371310083838,0.8248254738458225,No
TOI-2084 b,2023,6,0,M2+/-0.5,6,3277,0,259,72,2,2,0.17112113708458732,0.24652562311939183,No
TOI-2641 b,2023,4,0,F9 V,122,5826,2,171,-42,18,0,1.4102745135577335,2.031711623400214,No
TOI-3785 b,2023,4,0,M2 V,14,3302,0,130,63,5,0,0.1827273927064041,0.26324617236303655,No
nu Oct A b,2016,417,1,K1 IIIb-IV,762,4586,16,325,-77,13,1,3.9291956758022537,5.660594762506492,No
HD 69830 b,2006,8,0,K0V,10,5111,0,124,-12,3,1,0.7401225857152176,1.0662574170366088,No
HD 180053 b,2018,213,0,K0,697,4857,12,288,34,13,1,3.3791203315963685,4.868128856170578,No
WTS-2 b,2014,1,0,K2 V,355,4726,0,293,36,15,0,0.6843900035012974,0.985966286481838,No
WASP-92 b,2016,2,0,F7,255,6006,1,246,51,16,0,1.308590181520764,1.8852201160155841,No
HD 181342 b,2009,564,1,K0 III,807,4671,11,290,-23,13,1,3.302202162124513,4.757316714658924,No
HD 181433 b,2008,9,0,K3 IV,6,4644,0,291,-66,2,2,0.5640318874193012,0.8125723968075117,No
HD 187123 c,2008,3810,4,G3 V,632,5516,1,296,34,13,1,1.1035795837455227,1.5898716498723418,No
HD 125612 b,2007,557,1,G3 V,945,5626,1,215,-17,13,2,1.0216535711984864,1.4718449604934507,Yes
TOI-3984 A b,2023,4,0,M4+/-0.5,44,3202,0,226,36,7,0,0.155705393861189,0.22431693652027088,No
TOI-5293 A b,2023,2,0,M3+/-1,170,3312,0,355,-2,11,0,0.19602147708527035,0.2823982916811881,No
HD 205739 b,2008,279,0,F7 V,435,5902,2,324,-31,13,0,1.4431240269157783,2.0790362665607938,No
HD 20868 b,2008,380,0,K3/4 IV,397,4528,0,50,-33,13,0,0.518565544779017,0.7470713217134671,No
HD 211810 b,2018,1558,2,G5,212,5378,1,334,61,14,0,1.0334837619956412,1.4888881218911467,No
HD 4732 c,2012,2732,4,K0 IV,753,4685,15,12,-24,13,1,3.7523527394186376,5.40582603066547,Yes
HD 21411 b,2019,84,0,G8 V,65,5331,0,51,-30,9,0,0.7019459253983132,1.0112582209490442,No
HD 73526 b,2002,188,0,G6 V,978,5327,2,129,-41,13,2,1.4070309721838712,2.027038816335417,No
HD 73534 b,2008,1750,2,G5,353,4643,3,129,12,13,0,1.73901631884759,2.505313422542157,No
GJ 411 b,2019,12,0,M1.5 V,2,3445,0,165,35,1,4,0.13313849930730184,0.1918059455547502,No
GJ 687 b,2014,38,0,M3 V,17,3139,0,264,68,4,1,0.13909248218305273,0.20038354948781148,Yes
GJ 887 b,2020,9,0,M1 V,4,3414,0,346,-35,1,3,0.1829378865384074,0.2635494202491919,No
HD 64114 b,2019,45,0,G7 V,17,5402,0,117,-11,4,1,0.8143360431299336,1.173173015803134,No
HD 220842 b,2016,218,0,F8,1010,5686,2,351,56,13,2,1.4381482509153822,2.0718679161167817,No
HD 221585 b,2016,1173,2,G8 IV,511,5346,2,353,63,13,1,1.5498999256028074,2.2328629381597622,No
HD 238914 b,2018,4100,5,K7,1906,4495,70,279,59,12,5,8.022387903316897,11.557451116007108,No
HD 76920 b,2017,415,1,K1 III,1249,4424,23,133,-67,13,3,4.669857812726879,6.727629483857286,No
HD 20781 b,2019,5,0,K0 V,1,4982,0,50,-28,1,5,0.6672731615711311,0.9613069124584845,No
HD 67087 c,2015,2374,3,F8 V,1540,6056,3,121,31,12,3,1.7754304227234887,2.5577733921361103,No
HD 65216 c,2013,5370,5,G5 V,645,5338,0,118,-63,13,1,0.8022387903316897,1.1557451116007107,No
HD 290327 b,2009,2443,3,G8 V,772,5231,0,80,-2,13,1,0.8115282777098517,1.1691280092565925,No
HD 4313 b,2009,356,1,G5,612,4669,14,11,7,13,1,3.5793457990657696,5.156583625541739,No
HD 330075 b,2004,3,0,K1,152,4726,0,237,-49,14,0,0.6520841700321698,0.9394248956165402,No
HD 31253 b,2010,466,1,F8,197,5856,3,73,12,14,0,1.7290344937828033,2.4909331087721,No
HD 31527 b,2019,16,0,G2 V,10,5624,1,73,-23,3,1,1.0442480126646068,1.5043956369111546,No
HIP 65 A b,2020,0,0,K4 V,1021,4316,0,0,-54,22,0,0.4368211495486999,0.6293062792762472,No
MASCARA-1 b,2017,2,0,A8,1175,7216,12,317,10,17,1,3.3174444347617422,4.779275490901694,No
HD 206893 b,2021,9350,9,F5 V,8899,6226,2,326,-12,14,17,1.611772187651318,2.3219991969246605,No
TOI-1338 c,2023,215,0,F8,65,5776,2,92,-59,9,0,1.3925271053822112,2.006143824274019,No
KELT-8 b,2015,3,0,G2 V,209,5480,1,283,24,18,0,1.2936108735800365,1.8636401797967188,No
WASP-153 b,2017,3,0,G0,123,5640,2,279,40,17,0,1.6192117900460665,2.3327170582442665,No
NGTS-24 b,2022,3,0,G2 IV,165,5546,2,168,-37,13,0,1.5933223839846946,2.2954194919108,No
HD 40307 b,2009,4,0,K2.5 V,4,4682,0,88,-60,1,3,0.4568815888083398,0.6582063460522578,No
HAT-P-38 b,2012,4,0,G5,84,5056,0,35,32,9,0,0.7504187164975307,1.0810905352596005,No
HD 12661 b,2000,262,0,K0,772,5371,1,31,25,13,1,1.1112292319716586,1.6008921136661283,No
HD 4203 b,2001,431,1,G5,708,5322,1,11,20,13,1,1.335991384306748,1.924695651920283,No
HATS-7 b,2015,3,0,K2,38,4711,0,208,-21,6,0,0.5785003917988234,0.8334164440043474,No
CoRoT-13 b,2010,4,0,G0 V,415,5671,1,102,-5,9,2,1.0370594599088876,1.4940394501908998,No
HD 49674 b,2002,4,0,G5 V,31,5328,0,102,40,6,0,0.9296161444656418,1.3392512648098827,No
30 Ari B b,2009,335,0,F6 V,4392,6057,2,39,24,12,13,1.478439841063094,2.129913985333385,No
HD 62509 b,2006,589,1,K0IIIvar,731,4619,40,116,28,13,1,6.099632326698887,8.787433777951835,No
HD 208527 b,2012,875,2,M1 III,3146,3761,729,329,21,12,8,25.751566770597027,37.09898819386615,No
HD 167768 b,2022,20,0,G8 III,270,4577,46,274,-3,13,0,6.513338623822017,9.383439650892484,No
HD 207897 b,2021,16,0,K0 V,14,4796,0,325,84,2,5,0.5718783525729785,0.8238764048584791,No
KELT-14 b,2016,1,0,G4,408,5446,1,108,-42,19,0,1.3146303593590307,1.8939218966997238,No
HAT-P-30 b,2011,2,0,F7,263,6030,2,123,5,16,0,1.3655375827275584,1.9672613752470216,No
47 UMa c,2001,2391,3,G1 V,171,5598,1,164,40,14,0,1.1975775813545628,1.725289841495794,No
BD-11 4672 b,2014,1634,2,K7 V,206,4276,0,278,-11,14,0,0.3778362806023448,0.5443297426580507,No
L 98-59 b,2019,2,0,M3 V,0,3138,0,124,-68,0,3,0.10122869949572379,0.14583510047863443,No
L 98-59 c,2019,3,0,M3 V,2,3138,0,124,-68,1,5,0.10122869949572379,0.14583510047863443,No
L 98-59 d,2019,7,0,M3 V,2,3138,0,124,-68,1,3,0.10122869949572379,0.14583510047863443,No
GJ 649 b,2009,600,1,M1.0,81,3534,0,254,25,10,0,0.19897735679435957,0.2866566790409505,No
GJ 849 b,2006,1925,2,M3.5,283,3289,0,332,-4,13,0,0.15286345014033878,0.22022269101332032,No
GJ 328 b,2013,3771,4,M0.0,797,3623,0,133,1,13,1,0.27498161444369507,0.39615219371525584,No
WASP-166 b,2019,5,0,F9 V,32,5776,1,144,-20,7,0,1.3206984173914433,1.90266384297855,No
GJ 1252 b,2020,0,0,M3,1,3051,0,306,-56,1,4,0.13344541524553946,0.19224810392401057,No
L 168-9 b,2020,1,0,M1 V,4,3520,0,350,-60,1,9,0.24734529715732836,0.35633794016469067,No
LTT 3780 b,2020,0,0,M3.5 V,2,3086,0,154,-11,1,5,0.12325474780863442,0.17756692144306627,No
LTT 3780 c,2020,12,0,M3.5 V,7,3086,0,154,-11,2,3,0.12325474780863442,0.17756692144306627,No
TOI-1235 b,2020,3,0,M0.5 V,6,3723,0,152,69,1,7,0.28333723889941126,0.40818972198669806,No
HD 191939 b,2020,8,0,G9 V,10,5153,0,302,66,3,1,0.7687827984684565,1.107546745334106,No
HD 191939 c,2020,28,0,G9 V,8,5153,0,302,66,3,1,0.7687827984684565,1.107546745334106,No
HD 191939 d,2020,38,0,G9 V,2,5153,0,302,66,2,0,0.7687827984684565,1.107546745334106,No
GJ 849 c,2014,5990,4,M3.5,0,3289,0,332,-4,1,5,0.15286345014033878,0.22022269101332032,No
TOI-2076 b,2021,10,0,K,6,4913,0,217,39,2,2,0.5858732339814072,0.8440381272410826,No
TOI-2076 c,2021,21,0,K,12,4913,0,217,39,3,1,0.5858732339814072,0.8440381272410826,No
TOI-2076 d,2021,35,0,K,10,4913,0,217,39,3,1,0.5858732339814072,0.8440381272410826,No
L 98-59 e,2021,12,0,M3 V,3,3138,0,124,-68,1,4,0.10122869949572379,0.14583510047863443,No
HD 191939 e,2022,101,0,G9 V,112,5153,0,302,66,13,0,0.7687827984684565,1.107546745334106,No
HD 191939 f,2022,2200,3,G9 V,660,5153,0,302,66,13,1,0.7687827984684565,1.107546745334106,No
TOI-908 b,2023,3,0,G V,16,5352,0,53,-81,3,2,0.9105497037783423,1.3117832018272135,No
HD 191939 g,2022,284,0,G9 V,13,5153,0,302,66,3,1,0.7687827984684565,1.107546745334106,Yes
GJ 328 c,2023,241,0,M0.0,21,3623,0,133,1,4,0,0.27498161444369507,0.39615219371525584,No
Kepler-167 d,2016,21,0,K4,2,4610,0,292,38,1,5,0.5126295740737586,0.7385196670092975,No
HD 7199 b,2011,615,1,K1 IV,85,5097,0,17,-66,11,0,0.7976339990031162,1.1491112201308908,No
KOI-55 c,2011,0,0,B,0,27456,22,296,41,0,5,4.563558871167997,6.57448994042507,No
HD 75898 b,2007,422,1,G0,861,5689,2,133,33,13,2,1.6192117900460665,2.3327170582442665,No
HD 79498 b,2011,1807,2,G5,425,5474,1,138,23,13,0,0.9869693304793796,1.4218771178214251,No
WASP-85 A b,2016,2,0,G5 V,402,5838,0,175,6,13,0,0.8786252045286503,1.2657911800092745,No
WASP-95 b,2014,2,0,G2,457,5556,1,337,-48,13,0,1.1703173874819142,1.686017450046641,No
HD 173416 b,2008,323,1,G8,858,4409,77,280,36,13,2,8.419836483638225,12.13003531332459,No
HD 77338 b,2012,5,0,K0 IV,15,5067,0,135,-25,4,1,0.7068115821050476,1.0182679280603277,No
GJ 3021 b,2000,133,0,G6 V,1071,5266,0,4,-79,13,2,0.7750034885596533,1.1165085809500466,No
GJ 3634 b,2010,2,0,M2.5,8,3243,0,164,-31,2,2,0.134835316038517,0.1942504641519791,No
GJ 674 b,2007,4,0,M2.5,11,3326,0,262,-46,3,1,0.1205878792572857,0.17372489793504248,No
HD 37605 c,2012,2720,3,K0,1013,5055,0,85,6,13,2,0.7401225857152176,1.0662574170366088,No
GJ 876 e,2010,124,0,M2.5V,14,2997,0,343,-14,3,1,0.10612156779032282,0.15288400995713386,No
HD 189567 b,2021,14,0,G3 V,8,5452,2,301,-67,2,2,1.384534102778814,1.9946287070829534,No
HD 96700 c,2021,19,0,G0 V,3,5571,1,166,-30,1,3,1.1202208648309593,1.613845907284296,No
HD 155918 c,2022,17202,13,G2V,1878,5498,1,260,-75,12,4,0.9711887822373403,1.3991428749639145,No
HD 190647 b,2007,1176,2,G5 V,630,5382,1,301,-35,13,1,1.3421580403504505,1.9335796433992858,No
BD+15 2940 b,2013,137,0,K0,352,4522,102,240,15,13,0,9.645031656862859,13.89511243160467,No
HD 200964 c,2010,852,1,G8 IV,385,4708,11,316,3,13,0,3.245664739527211,4.67586609100818,No
HATS-36 b,2018,4,0,G0 V,1022,5676,1,291,-23,12,2,1.2212474148849681,1.7593897812205463,No
HD 17156 b,2007,21,0,G5,1115,5766,2,42,71,12,3,1.4938385320086185,2.152098105572674,No
HD 206610 b,2009,673,1,K0 III,647,4568,18,325,-7,13,1,4.142892433923094,5.968456943367835,No
8 UMi b,2015,93,0,K0,416,4573,53,224,74,13,0,6.9471017124277905,10.00834033544013,No
K2-136 c,2017,17,0,K5.5,18,4226,0,67,22,3,3,0.38976573550493204,0.561515908864282,No
K2-136 d,2017,25,0,K5.5,3,4226,0,67,22,1,4,0.38976573550493204,0.561515908864282,No
WASP-18 b,2009,0,0,F6 IV-V,3241,6158,2,24,-45,13,6,1.560643318640522,2.2483404046385522,No
WASP-18 c,2019,2,0,F6 IV-V,55,6126,2,24,-45,8,0,1.4818479968805964,2.134823944155026,No
GJ 486 b,2021,1,0,M3.5 V,2,3066,0,191,9,1,7,0.10490680424896974,0.1511339611666869,No
HATS-54 b,2019,2,0,G6 V,239,5347,1,200,-44,11,0,1.0884379042096393,1.5680577930557371,No
HD 100655 b,2011,157,0,G9 III,511,4617,42,173,20,13,1,6.248901188971963,9.002477926857896,No
HD 210277 b,1998,442,1,G0 V,410,5264,0,332,-7,13,0,0.9189749164545621,1.3239209823510292,Yes
HD 21693 b,2019,22,0,G8 V,8,5156,0,51,-58,2,2,0.7504187164975307,1.0810905352596005,No
HD 10180 f,2010,122,0,G1 V,23,5637,1,24,-60,5,0,1.1635998522261988,1.6763398345693485,No
HD 10180 g,2010,604,1,G1 V,21,5637,1,24,-60,4,0,1.1635998522261988,1.6763398345693485,Yes
HD 176986 c,2017,16,0,K2.5 V,9,4657,0,285,-11,2,1,0.548660452608807,0.7904275431123015,No
WASP-64 b,2012,1,0,G7,403,5126,0,101,-32,14,0,0.9296161444656418,1.3392512648098827,No
HD 147379 b,2017,86,0,M1,28,3882,0,244,67,5,0,0.3117479866848539,0.44911965864105746,Yes
GJ 15 A b,2014,11,0,M1,3,3333,0,4,44,1,4,0.14184161171742482,0.20434408226034673,No
GJ 3998 b,2016,2,0,M1,2,3448,0,259,11,1,5,0.193109508025088,0.27820316418673374,No
GJ 3293 c,2015,122,0,M2.5,21,3192,0,67,-25,4,1,0.14135255320666784,0.20363952023977877,No
K2-154 b,2018,3,0,M0.0 V,4,3823,0,189,-2,1,3,0.2953273425010309,0.4254632617259426,No
GJ 3929 c,2022,15,0,M3.5 V,5,3110,0,239,35,2,2,0.0994955500756159,0.14333823920228667,No
HD 118203 b,2005,6,0,K0,886,5590,4,203,53,13,2,2.005874038378796,2.8897619290941616,No
HD 16417 b,2008,17,0,G1 V,22,5567,2,39,-34,5,0,1.5878287360852354,2.2875050694456007,No
TOI-4603 b,2023,7,0,F,4096,5990,10,83,21,11,14,3.0747064395410306,4.429575059113669,No
TOI-3884 b,2022,4,0,M4,16,2995,0,181,12,6,0,0.0918974916454562,0.1323920982351029,No
KELT-4 A b,2016,2,0,F,286,5932,3,157,25,19,0,1.765239583395385,2.5430919620201538,No
Kepler-167 b,2014,4,0,K4,3,4610,0,292,38,1,3,0.5126295740737586,0.7385196670092975,No
WASP-119 b,2016,2,0,G5,390,5376,1,55,-65,15,0,1.0394501288649156,1.497483566821364,No
WASP-168 b,2018,4,0,F9 V,133,5726,1,96,-46,16,0,1.1397344022786038,1.641958080102352,No
TOI-269 b,2021,3,0,M2 V,8,3240,0,75,-54,2,2,0.14315405599157946,0.20623485477394635,No
HD 111998 b,2016,825,1,F5 V,1433,6283,3,193,-3,12,3,1.7191099636557028,2.476635336939616,Yes
HD 183579 b,2021,17,0,G2 V,19,5514,1,293,-54,3,2,0.9667265751100809,1.3927143973878706,No
HD 1605 c,2015,2149,3,K1 IV,1150,4641,6,5,30,13,2,2.4227224150354183,3.490294438124787,No
HD 9174 b,2016,1179,2,G8 IV,352,5303,2,22,-19,13,0,1.4801429380258562,2.132367551544613,No
24 Boo b,2018,30,0,G3 IV,289,4619,59,217,49,13,0,7.350276176725808,10.589173526069086,No
HD 165155 b,2016,434,1,G8 V,918,5152,0,271,-29,13,2,0.7976339990031162,1.1491112201308908,Yes
K2-239 b,2018,5,0,M3.0 V,1,3146,0,160,4,1,5,0.1205878792572857,0.17372489793504248,No
HD 180617 b,2018,105,0,M2.5 V,12,3260,0,289,5,3,1,0.1715156120457282,0.2470939233729846,No
WASP-183 b,2019,4,0,G9,159,5039,0,163,0,16,0,0.7495552621621194,1.079846599988371,No
WASP-20 b,2015,4,0,F9,98,5666,2,5,-23,16,0,1.4070309721838712,2.027038816335417,No
WASP-11 b,2008,3,0,K3 V,251,4526,1,47,30,12,0,0.9534625892455924,1.37360563948689,No
